,time,ticker,abnormal_return,y,volatility,reaction_positive,reaction_negative,volume_adi,volume_mfi,volatility_atr,trend_sma_slow,trend_macd,momentum_rsi,momentum_roc,momentum_ppo,others_dlr,others_cr,risk_factor_pos,risk_factor_neg,risk_factor_polarity,risk_factor_subjectivity,risk_factor_len,item1_pos,item1_neg,item1_polarity,item1_subjectivity,item1_len,item7_pos,item7_neg,item7_polarity,item7_subjectivity,industry_B,industry_C,industry_D,industry_E,industry_F,industry_G,industry_H,industry_I
4092,2013,rnr,0.187224228,1,0.256716377,8,3,-20420741879,52.84035903,7.52269288,81.19922643,0.363607205,55.45911853,0.814297877,0.448458904,0.076640001,111.0630894,1326,633,0.353751914,0.32332068,6059,2582,976,0.451377178,0.288003885,22810,4363,2231,0.323324234,0.289083735,0,0,0,0,0,0,1,0
4093,2014,rnr,0.341105439,1,0.334595874,3,8,-21830180954,49.88160759,7.307082167,92.68612605,0.162213215,52.9598202,0.32000827,0.175615599,0.004117313,139.6600667,1789,793,0.385747482,0.323477825,7982,2813,1035,0.462058212,0.289149384,22556,4298,2192,0.32449923,0.287728321,0,0,0,0,0,0,1,0
4094,2015,rnr,-0.026887639,0,0.152433179,6,5,-22774080850,53.71334182,6.56932228,98.11240204,0.380779609,54.42541841,0.802374389,0.38085044,0.064912136,155.0022192,1187,566,0.354249857,0.330069667,5311,2550,978,0.445578231,0.285021813,20933,3735,2134,0.272789232,0.280370707,0,0,0,0,0,0,1,0
4095,2017,rnr,0.248639082,1,0.093951396,5,6,-23847806875,46.62828187,6.1274037,134.8300578,0.002988858,50.99702023,-0.187496703,-0.008725179,-0.028656193,247.0027921,1250,649,0.316482359,0.326737784,5812,2357,770,0.50751519,0.290235753,14519,2944,1460,0.336966394,0.303326675,0,0,0,0,0,0,1,0
4096,2009,mksi,0.419733468,1,9.91E-07,4,7,-5712788088,48.56140999,2.781954087,13.50514476,0.038672641,50.77735454,1.182368667,0.208196028,0.064491805,-44.69554233,537,238,0.385806451,0.368696479,2102,463,85,0.689781021,0.259101655,4196,955,500,0.312714776,0.346758818,0,0,1,0,0,0,0,0
4097,2010,mksi,-0.273396523,0,0.075963104,7,4,-6423554598,56.03585391,3.33763269,16.54389042,0.136514114,54.36117763,2.106564672,0.79454003,0.135794637,-31.50383662,541,237,0.390745501,0.369420703,2106,466,85,0.691470053,0.260151086,4528,1064,501,0.359744409,0.345627208,0,0,1,0,0,0,0,0
4098,2006,mksi,0.516579677,1,0.06282182,8,3,-2047537975,51.62183329,3.559812527,17.85337492,0.066138503,52.85924534,1.139829275,0.359897765,0.092757937,-26.74268751,491,191,0.439882697,0.371864776,1834,527,102,0.675675675,0.253424657,3584,876,307,0.480980557,0.330078125,0,0,1,0,0,0,0,0
4099,2007,mksi,0.184279766,1,0.147783741,9,2,-3631039736,48.96668456,3.8698723,19.72639172,-0.0716196,49.52286165,-0.574727165,-0.471867604,-0.065850273,-20.26542413,492,192,0.438596491,0.373566357,1831,473,82,0.704504503,0.259103641,3687,897,332,0.459723352,0.333333333,0,0,1,0,0,0,0,0
4100,2008,mksi,0.337534123,1,0.180492857,5,6,-5028665577,50.99269849,3.553298523,17.19423285,-0.084648966,49.20038039,-0.579635925,-0.68122601,-0.101908695,-30.69797267,552,247,0.381727158,0.367356322,2175,475,89,0.684397162,0.257887517,4193,955,439,0.370157819,0.33245886,0,0,1,0,0,0,0,0
4101,2011,mksi,-0.228974662,0,0.161627403,1,10,-7355861823,50.95243665,4.268861338,22.45189572,0.118089556,51.32445425,1.117503298,0.499829675,0.059773655,-7.811745948,546,239,0.391082802,0.370632672,2118,469,84,0.69620253,0.261465721,4541,1100,463,0.407549584,0.344197313,0,0,1,0,0,0,0,0
